Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,temperature,humidity,ph,rainfall,N_percent,P_percent,K_percent,total_yield,Fertilizer_per_ha,Pesticide_per_ha,Soil_Type
Maize,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.5,155867.1,2.69,23.1,68.2,5.95,109.8,54.6,26.5,18.9,1352523.93,95.17000001988876,0.3100000596662271,Alluvial
Maize,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.17,27.7,66.5,5.44,109.8,52.8,26.9,20.3,21114.1,95.17,0.31,Alluvial
Ragi,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.6,278355.5,1.19,23.5,58.8,6.35,298.6,51.9,30.3,17.8,1068525.99,95.1700000334105,0.3099999888631627,Red
Ragi,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.7,8402.2,1.31,23.8,62.1,6.68,298.6,51.7,20.9,27.5,35506.24,95.17000073789848,0.3099985242030696,Red
Ragi,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.6,4191.5,1.85,33.6,41.6,7.02,298.6,51.2,25.9,22.8,25013.85,95.1700022187708,0.309999260409733,Red
Rice,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.23,24.0,85.4,5.73,298.6,54.7,25.9,19.4,2300311.9,95.17,0.31,Clayey
Rice,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.1,16705.6,2.07,25.2,73.5,5.83,298.6,50.5,31.1,18.4,111550.23,95.16999944330011,0.3100001855666277,Clayey
Rice,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.5,83093.6,2.83,28.0,60.2,5.99,298.6,49.8,29.0,21.2,758564.52,95.17000007461462,0.309999850770769,Clayey
Turmeric,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.1,1346.0,4.45,32.6,67.7,6.08,298.6,50.3,26.9,22.9,19321.9,95.16999078765544,0.3099953938277291,Red Loamy
Arecanut,Whole Year ,Kerala,76145.0,93995,3252.4,7246719.6,23605.0,1.15,25.4,65.0,7.47,298.6,46.7,24.8,28.5,87566.75,95.16999934335806,0.3100006566419331,Laterite
Black pepper,Whole Year ,Kerala,173855.0,55520,3252.4,16545780.4,53895.0,0.24,17.1,77.7,6.72,298.6,50.9,22.6,26.6,41725.2,95.17000028759598,0.3099997124040148,Loamy
Cashewnut,Whole Year ,Kerala,96073.0,74142,3252.4,9143267.4,29782.6,0.59,30.3,62.8,6.64,298.6,52.0,22.9,25.1,56683.07,95.16999989591248,0.3099996877374496,Loamy
Coconut ,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.5,274146.6,5376.05,24.2,64.6,7.1,225.6,46.4,24.4,29.2,4754277561.2,95.17000002261564,0.3099999547687325,Loamy
Tapioca,Whole Year ,Kerala,132875.0,2841819,3252.4,12645713.8,41191.2,22.8,21.3,50.1,6.62,298.6,49.3,23.5,27.2,3029550.0,95.17000037629352,0.309999623706491,Loamy
Arecanut,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.7,2966.4,1.25,29.3,70.1,6.83,298.6,56.8,24.3,18.9,11961.25,95.16999686487615,0.3100010450412791,Laterite
Arhar/Tur,Kharif     ,Meghalaya,865.0,683,3818.2,82322.0,268.2,0.81,33.0,54.5,6.56,298.6,56.5,21.2,22.3,700.6500000000001,95.1699421965318,0.3100578034682081,Sandy Loam
Banana,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.6,1624.1,11.21,17.0,50.5,6.76,119.8,52.5,26.3,21.2,58729.19,95.16999427371636,0.310001908761214,Loamy
Castor seed,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49,13.4,60.7,6.22,298.6,49.5,26.1,24.5,14.7,95.17,0.31,Sandy Loam
Cotton(lint),Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.5,2338.6,0.8,31.0,57.8,6.77,99.9,48.9,19.9,31.2,6035.200000000001,95.17000265111346,0.3099946977730646,Black
Dry chillies,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.2,547.5,0.64,29.1,55.3,6.81,298.6,48.6,24.3,27.1,1130.24,95.16998867497168,0.3100226500566251,Loamy
Ginger,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.7,2280.7,6.05,15.0,44.4,5.61,298.6,46.1,24.6,29.2,44509.85,95.17000135924968,0.3100040777490825,Loamy
Gram,Rabi       ,Meghalaya,443.0,270,3818.2,42160.3,137.3,0.61,23.6,62.4,7.15,298.6,50.1,23.0,26.9,270.23,95.16997742663658,0.3099322799097065,Sandy Loam
Jute,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.3,1315.3,8.44,25.5,50.0,6.14,199.8,49.6,24.3,26.1,35810.92,95.169997643177,0.3099929295309922,Loamy
Linseed,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44,29.0,80.6,5.67,298.6,51.4,22.0,26.6,22.0,95.17,0.31,Loamy
Maize,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.8,5324.2,1.44,25.5,46.7,6.46,109.8,57.0,25.1,18.0,24732.0,95.17000291120816,0.3099970887918486,Alluvial
Mesta,Kharif     ,Meghalaya,4688.0,21558,3818.2,446157.0,1453.3,4.68,21.7,65.1,6.39,298.6,48.1,24.6,27.3,21939.84,95.1700085324232,0.3100042662116041,Loamy
Mesta,Whole Year ,Meghalaya,861.0,713,3818.2,81941.4,266.9,0.75,23.3,42.3,7.14,298.6,47.3,27.4,25.3,645.75,95.17003484320556,0.3099883855981417,Loamy
Other  Rabi pulses,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.5,591.8,0.78,19.6,58.5,7.28,298.6,47.9,28.3,23.8,1489.02,95.16998428496596,0.3100052383446831,Loamy
Potato,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.9,6436.8,8.64,30.4,49.9,6.7,298.6,50.8,26.4,22.9,179400.96000000002,95.17000096320554,0.3099980735889038,Alluvial
Rapeseed &Mustard,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.4,2143.3,0.61,17.1,35.1,5.83,298.6,47.0,23.3,29.8,4217.54,95.17000289268152,0.3099942146369685,Loamy
Rice,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.38,28.3,67.3,5.64,298.6,54.6,24.5,20.9,145134.59999999998,95.17,0.31,Clayey
Sesamum,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.4,411.1,0.58,28.1,55.9,7.14,298.6,44.6,24.0,31.4,769.0799999999999,95.16998491704372,0.3100301659125188,Loamy
Small millets,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.7,869.2,0.86,28.9,59.3,6.05,298.6,46.3,24.6,29.2,2411.44,95.17000713266762,0.3099857346647646,Loamy
Soyabean,Kharif     ,Meghalaya,898.0,814,3818.2,85462.7,278.4,0.92,21.1,65.2,5.99,298.6,48.9,26.6,24.5,826.1600000000001,95.17004454342984,0.310022271714922,Black
Sweet potato,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.0,1615.7,3.22,15.0,42.1,7.32,298.6,54.9,23.8,21.3,16782.64,95.16999232540292,0.3099961627014582,Loamy
Tobacco,Rabi       ,Meghalaya,742.0,505,3818.2,70616.1,230.0,0.62,17.2,56.4,6.56,298.6,48.2,26.5,25.2,460.04,95.1699460916442,0.3099730458221024,Loamy
Turmeric,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.2,434.3,5.43,28.3,51.7,7.04,298.6,55.3,22.2,22.5,7607.429999999999,95.17002141327625,0.3099928622412563,Red Loamy
Wheat,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.8,1329.0,1.38,20.3,58.1,7.06,298.6,56.7,23.6,19.7,5916.06,95.17000233263354,0.3100069979006298,Alluvial
Arecanut,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.9,2498.0,1.69,26.3,78.8,6.28,298.6,48.5,24.3,27.1,13618.02,95.17000496401091,0.3100024820054604,Laterite
Arhar/Tur,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.78,17.2,67.6,6.18,298.6,56.9,19.0,24.1,2831.4,95.17,0.31,Sandy Loam
Bajra,Kharif     ,West Bengal,207.0,95,1852.9,19700.2,64.2,0.43,16.6,50.1,6.65,298.6,50.4,24.7,25.0,89.01,95.17004830917875,0.3101449275362319,Sandy
Barley,Whole Year ,West Bengal,6116.0,5034,1852.9,582059.7,1896.0,1.68,26.0,47.9,6.92,298.6,49.6,25.0,25.4,10274.88,95.1699967298888,0.3100065402223675,Loamy
Cardamom,Whole Year ,West Bengal,2674.0,7,1852.9,254484.6,828.9,0.0,26.5,84.4,6.45,298.6,52.4,24.3,23.4,0.0,95.17000747943156,0.3099850411368736,Loamy
Castor seed,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07,18.8,49.3,6.46,298.6,51.6,25.4,23.0,46.2,95.17,0.31,Sandy Loam
Coconut ,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.4,7524.6,13003.79,29.5,68.9,6.4,225.6,47.9,26.6,25.5,315640994.67,95.1699995880196,0.3099987640588308,Loamy
Cotton(lint),Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,22.2,54.2,6.63,99.9,50.6,22.0,27.4,52000.0,95.17,0.31,Black
Dry chillies,Whole Year ,West Bengal,64034.0,55569,1852.9,6094115.8,19850.5,0.94,31.7,75.0,6.35,298.6,56.5,19.7,23.8,60191.96,95.17000031233408,0.3099993753318549,Loamy
Gram,Rabi       ,West Bengal,25485.0,16994,1852.9,2425407.4,7900.4,0.6,23.5,47.1,6.93,298.6,56.0,21.5,22.5,15291.0,95.1699980380616,0.3100019619383951,Sandy Loam
Groundnut,Whole Year ,West Bengal,29615.0,38672,1852.9,2818459.6,9180.6,1.13,26.7,74.1,5.51,298.6,42.2,33.0,24.7,33464.95,95.1700016883336,0.3099983116663853,Sandy Loam
Horse-gram,Kharif     ,West Bengal,5645.0,2556,1852.9,537234.6,1750.0,0.44,18.6,54.9,6.19,298.6,53.6,26.3,20.1,2483.8,95.16999114260408,0.3100088573959256,Loamy
Jowar,Whole Year ,West Bengal,948.0,450,1852.9,90221.2,293.9,0.48,27.6,53.1,7.26,298.6,49.2,23.6,27.2,455.04,95.17004219409284,0.3100210970464134,Red
Jute,Kharif     ,West Bengal,641574.0,7549700,1852.9,61058597.6,198887.9,13.45,28.8,65.4,5.49,199.8,52.0,22.1,25.9,8629170.299999999,95.17000003117332,0.3099999376533338,Loamy
Khesari,Rabi       ,West Bengal,25261.0,28460,1852.9,2404089.4,7830.9,1.1,17.9,65.4,6.02,298.6,46.6,27.4,26.0,27787.1,95.17000118760144,0.309999604132853,Loamy
Linseed,Whole Year ,West Bengal,16486.0,4210,1852.9,1568972.6,5110.7,0.25,21.9,77.4,6.24,298.6,50.6,26.1,23.4,4121.5,95.16999878684943,0.310002426301104,Loamy
Masoor,Rabi       ,West Bengal,51202.0,35040,1852.9,4872894.3,15872.6,0.66,33.1,90.6,6.26,298.6,47.8,26.0,26.1,33793.32,95.16999921878052,0.3099996093902582,Loamy
Mesta,Kharif     ,West Bengal,9689.0,89000,1852.9,922102.1,3003.6,9.15,24.1,46.6,6.85,298.6,52.0,20.7,27.3,88654.35,95.16999690370524,0.3100010320982557,Loamy
Moong(Green Gram),Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.55,35.3,62.1,6.3,298.6,51.5,27.9,20.6,819.5000000000001,95.17,0.31,Sandy Loam
Moong(Green Gram),Rabi       ,West Bengal,3269.0,1710,1852.9,311110.7,1013.4,0.54,25.8,55.3,7.61,298.6,48.9,29.7,21.4,1765.2600000000002,95.16999082288162,0.3100030590394616,Sandy Loam
Moong(Green Gram),Summer     ,West Bengal,9959.0,303,1852.9,947798.0,3087.3,0.05,27.9,63.8,5.98,298.6,49.0,27.8,23.3,497.9500000000001,95.16999698764936,0.3100010041168792,Sandy Loam
Niger seed,Rabi       ,West Bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.7,16.5,59.8,5.96,298.6,52.3,26.4,21.2,35565670.0,95.17,0.31,Loamy
Niger seed,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.0,2018.7,0.4,16.9,65.8,6.19,298.6,44.3,28.7,27.0,2604.8,95.16999385749386,0.3099969287469287,Loamy
Potato,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.6,88044.6,18.24,26.9,58.0,6.99,298.6,49.8,27.6,22.5,5180433.6,95.17000017604704,0.3099998239529603,Alluvial
Ragi,Autumn     ,West Bengal,12607.0,15330,1852.9,1199808.2,3908.2,0.99,22.8,54.3,6.97,298.6,53.5,23.2,23.3,12480.93,95.17000079321012,0.3100023796303641,Red
Rapeseed &Mustard,Whole Year ,West Bengal,327123.0,250950,1852.9,31132295.9,101408.1,0.72,26.6,57.1,7.07,298.6,48.9,25.5,25.6,235528.56,95.16999996943044,0.3099999082913766,Loamy
Rice,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.6,131167.5,1.84,14.7,62.4,5.14,298.6,51.4,29.7,18.9,778542.64,95.17000007090172,0.3099999763660986,Clayey
Rice,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374117.0,2.84,19.9,71.4,6.12,298.6,52.1,25.3,22.6,3427394.36,95.16999997514148,0.3100000082861781,Clayey
Rice,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.7,1.99,23.1,78.5,5.59,298.6,55.7,24.1,20.2,8497952.72,95.17000000936696,0.310000004683481,Clayey
Safflower,Whole Year ,West Bengal,10800.0,3000,1852.9,1027836.0,3348.0,0.3,23.9,45.4,5.56,298.6,53.2,24.5,22.4,3240.0,95.17,0.31,Loamy
Sannhamp,Whole Year ,West Bengal,2015.0,9073,1852.9,191767.6,624.6,4.6,24.5,73.5,5.13,298.6,46.9,22.9,30.3,9269.0,95.17002481389578,0.3099751861042183,Loamy
Sesamum,Whole Year ,West Bengal,127913.0,88943,1852.9,12173480.2,39653.0,0.65,26.4,69.2,5.82,298.6,47.5,26.8,25.6,83143.45,95.16999992182186,0.3099997654655899,Loamy
Small millets,Whole Year ,West Bengal,5046.0,3222,1852.9,480227.8,1564.3,0.63,30.2,43.1,6.14,298.6,43.2,26.0,30.8,3178.98,95.16999603646452,0.3100079270709472,Loamy
Soyabean,Kharif     ,West Bengal,1555.0,1172,1852.9,147989.4,482.0,1.2,16.9,33.0,7.1,298.6,56.4,23.1,20.5,1866.0,95.17003215434084,0.3099678456591639,Black
Sunflower,Whole Year ,West Bengal,278.0,1,1852.9,26457.3,86.2,0.0,25.1,56.4,5.89,298.6,48.9,26.4,24.7,0.0,95.17014388489208,0.3100719424460432,Alluvial
Turmeric,Whole Year ,West Bengal,12481.0,23556,1852.9,1187816.8,3869.1,1.66,20.4,70.3,6.88,298.6,48.0,26.9,25.1,20718.46,95.17000240365356,0.3099991987821489,Red Loamy
Urad,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.1,21474.0,1.82,28.7,67.6,6.7,298.6,47.9,27.1,25.0,126073.22,95.17000043308164,0.3099998556394451,Loamy
Urad,Rabi       ,West Bengal,16694.0,10553,1852.9,1588768.0,5175.1,0.63,18.6,80.2,7.54,298.6,49.7,23.7,26.7,10517.22,95.17000119803522,0.3099976039295555,Loamy
Arecanut,Kharif     ,Puducherry,66.0,23,1434.6,6520.8,19.1,0.35,24.7,59.0,7.58,298.6,50.9,24.2,24.9,23.1,98.8,0.2893939393939394,Laterite
Bajra,Kharif     ,Puducherry,149.0,324,1434.6,14721.2,43.2,2.17,25.2,57.6,5.85,298.6,53.0,24.3,22.7,323.33,98.8,0.2899328859060402,Sandy
Black pepper,Kharif     ,Puducherry,12.0,7,1434.6,1185.6,3.5,0.58,27.6,64.7,5.43,298.6,46.9,26.5,26.6,6.959999999999999,98.8,0.2916666666666667,Loamy
Coriander,Kharif     ,Puducherry,2.0,1,1434.6,197.6,0.6,0.5,30.1,60.5,5.99,298.6,47.3,26.3,26.4,1.0,98.8,0.3,Loamy
Cotton(lint),Summer     ,Puducherry,453.0,372,1434.6,44756.4,131.4,0.84,32.1,63.2,6.42,99.9,46.1,21.9,31.9,380.52,98.8,0.2900662251655629,Black
Dry chillies,Kharif     ,Puducherry,8.0,23,1434.6,790.4,2.3,2.75,24.0,53.1,6.65,298.6,49.7,23.7,26.6,22.0,98.8,0.2875,Loamy
Onion,Kharif     ,Puducherry,26.0,429,1434.6,2568.8,7.5,16.5,19.2,34.6,5.38,298.6,50.2,25.1,24.7,429.0,98.8,0.2884615384615384,Loamy
Ragi,Kharif     ,Puducherry,112.0,366,1434.6,11065.6,32.5,3.27,31.1,27.9,6.74,298.6,54.6,21.6,23.8,366.24,98.8,0.2901785714285714,Red
Rice,Kharif     ,Puducherry,4945.0,11518,1434.6,488566.0,1434.0,2.46,22.7,67.8,5.37,298.6,54.5,28.0,17.5,12164.7,98.8,0.2899898887765419,Clayey
Rice,Rabi       ,Puducherry,13961.0,30220,1434.6,1379346.8,4048.7,2.56,25.7,70.3,6.2,298.6,49.1,30.0,20.8,35740.16,98.8,0.2900007162810686,Clayey
Rice,Summer     ,Puducherry,5716.0,14863,1434.6,564740.8,1657.6,2.55,36.7,80.5,5.25,298.6,55.7,25.8,18.5,14575.8,98.8,0.2899930020993702,Clayey
Sesamum,Kharif     ,Puducherry,147.0,120,1434.6,14523.6,42.6,0.81,29.5,60.4,6.67,298.6,48.9,25.4,25.7,119.07,98.8,0.2897959183673469,Loamy
Small millets,Kharif     ,Puducherry,4.0,3,1434.6,395.2,1.2,0.75,20.3,51.7,5.51,298.6,42.5,25.9,31.6,3.0,98.8,0.3,Loamy
Tapioca,Kharif     ,Puducherry,649.0,19110,1434.6,64121.2,188.2,20.0,26.4,47.9,6.93,298.6,56.6,21.8,21.6,12980.0,98.8,0.2899845916795069,Loamy
Arecanut,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.5,0.78,24.9,57.3,6.44,298.6,48.3,24.8,26.9,58076.46,98.8,0.28999959708288,Laterite
Arhar/Tur,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.5,0.71,19.4,45.9,5.84,298.6,49.2,27.8,22.9,5436.469999999999,98.8,0.2899960820164555,Sandy Loam
Banana,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.6,13.79,12.5,39.6,6.0,119.8,49.7,24.5,25.8,577594.1499999999,98.8,0.2899988062552226,Loamy
Castor seed,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.1,0.41,23.4,72.6,6.09,298.6,50.3,28.1,21.6,708.4799999999999,98.8,0.2899884259259259,Sandy Loam
Coconut ,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.1,6045.89,26.9,61.2,6.41,225.6,50.2,21.2,28.6,121921417.74,98.8,0.2899980164633541,Loamy
Cotton(lint),Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.1,0.4,27.1,39.7,6.53,99.9,48.9,18.5,32.6,660.8000000000001,98.8,0.2900121065375303,Black
Dry chillies,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4270.0,0.64,27.8,52.5,7.09,298.6,48.9,26.8,24.3,9423.36,98.8,0.2900027166530834,Loamy
Gram,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.6,0.46,31.8,37.4,6.31,298.6,49.4,26.4,24.2,1380.92,98.8,0.2900066622251832,Sandy Loam
Jute,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.6,9.04,24.2,82.6,6.4,199.8,50.8,24.1,25.0,711466.08,98.8,0.290000254123148,Loamy
